ProxyName,ProxyPort,ProxyUserName,ProxyPassword,ProxyType,CountryName,RegionId,VendorName,POS,PageType
shp-prx118-us-v00001.tp-ns.com,80,,,HIGH,,1,Trusted,UNITED STATES - USA,
shp-prx118-uk-v00004.tp-ns.com,80,,,HIGH,,1,Trusted,United Kingdom,
shp-prx118-fr-v00001.tp-ns.com,80,,,HIGH,,1,Trusted,FRANCE,
shp-prx118-de-v00001.tp-ns.com,80,,,HIGH,,1,Trusted,GERMANY,
shp-prx118-es-v00001.tp-ns.com,80,,,HIGH,,1,Trusted,SPAIN,
shp-prx118-ar-d00001.tp-ns.com,80,,,HIGH,,1,Trusted,ARGENTINA,
shp-prx118-es-v00001.tp-ns.com,80,,,HIGH,,1,Trusted,AUSTRALIA,
shp-prx118-br-d00001.tp-ns.com,80,,,HIGH,,1,Trusted,BRAZIL,
shp-prx118-us-v00001.tp-ns.com,80,,,HIGH,,1,Trusted,COSTA RICA,
shp-prx118-hk-v00001.tp-ns.com,80,,,HIGH,,1,Trusted,HONG KONG,
shp-prx118-id-v00001.tp-ns.com,80,,,HIGH,,1,Trusted,INDONESIA,
shp-prx118-it-d00001.tp-ns.com,80,,,HIGH,,1,Trusted,ITALY,
shp-prx118-kr-d00001.tp-ns.com,80,,,HIGH,,1,Trusted,SOUTH KOREA,
shp-prx118-mx-v00001.tp-ns.com,80,,,HIGH,,1,Trusted,MEXICO,
shp-prx118-pt-v00001.tp-ns.com,80,,,HIGH,,1,Trusted,PORTUGAL,
shp-prx118-uk-v00005.tp-ns.com,80,,,HIGH,,1,Trusted,PORTUGAL,
shp-prx118-ae-v00001.tp-ns.com,80,,,HIGH,,1,Trusted,SAUDI ARABIA,
