ProxyName,ProxyPort,ProxyUserName,ProxyPassword,ProxyType,CountryName,RegionId,VendorName,POS,PageType
shp-prx118-ar-d00001.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,Argentina,
shp-prx118-ar-d00001.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,Argentina,
shp-prx118-uk-v00004.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,United Kingdom,
shp-prx118-uk-v00002.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,United Kingdom,
shp-prx118-uk-v00003.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,United Kingdom,
shp-prx118-uk-v00001.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,United Kingdom,
shp-prx118-es-v00001.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,Spain,
shp-prx118-es-v00002.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,Spain,
shp-prx118-us-v00001.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,UNITED STATES - USA,
shp-prx118-us-v00002.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,UNITED STATES - USA,
shp-prx118-mx-v00001.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,MEXICO,
shp-prx118-mx-v00002.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,MEXICO,
shp-prx118-de-v00001.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,Germany,
shp-prx118-de-v00002.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,Germany,
shp-prx118-cn-v00001.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,China,
shp-prx118-cn-v00002.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,China,
shp-prx118-id-v00001.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,Indonesia,
shp-prx118-id-v00002.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,Indonesia,
shp-prx118-id-d00001.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,Indonesia,
shp-prx118-it-d00001.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,Italy,
shp-prx118-it-d00001.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,Italy,
shp-prx118-au-v00001.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,AUSTRALIA,
shp-prx118-au-v00002.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,AUSTRALIA,
shp-prx118-au-d00001.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,AUSTRALIA,
shp-prx118-hk-v00001.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,Hong Kong,
shp-prx118-hk-v00002.tp-ns.com,80,,,High,,1,New_Trusted_Agoda,Hong Kong,
