ProxyName,ProxyPort,ProxyUserName,ProxyPassword,ProxyType,CountryName,RegionId,VendorName,POS,PageType
 shp-prx118-ar-d00001.tp-ns.com,80,,,High,,,Trusted_Agoda,Argentina,
 cld-us-evln.tp-ns.com,80,,,High,,,Trusted_Agoda,Argentina,
 cld-us-bjny.tp-ns.com,80,,,High,,,Trusted_Agoda,Argentina,
 cld-us-mfzs.tp-ns.com,80,,,High,,,Trusted_Agoda,Argentina,
 shp-prx118-ar-d00001.tp-ns.com,80,,,High,,,Trusted_Agoda,Argentina,
 shp-prx118-uk-v00004.tp-ns.com,80,,,High,,,Trusted_Agoda,United Kingdom,
 shp-prx118-uk-v00002.tp-ns.com,80,,,High,,,Trusted_Agoda,United Kingdom,
 shp-prx118-uk-v00003.tp-ns.com,80,,,High,,,Trusted_Agoda,United Kingdom,
 shp-prx118-uk-v00001.tp-ns.com,80,,,High,,,Trusted_Agoda,United Kingdom,
 cld-us-evln.tp-ns.com,80,,,High,,,Trusted_Agoda,United Kingdom,
 shp-prx118-es-v00001.tp-ns.com,80,,,High,,,Trusted_Agoda,Spain,
 shp-prx118-es-v00002.tp-ns.com,80,,,High,,,Trusted_Agoda,Spain,
 cld-us-evln.tp-ns.com,80,,,High,,,Trusted_Agoda,Spain,
 cld-us-bjny.tp-ns.com,80,,,High,,,Trusted_Agoda,Spain,
 cld-us-mfzs.tp-ns.com,80,,,High,,,Trusted_Agoda,Spain,
 shp-prx118-us-v00001.tp-ns.com,80,,,High,,,Trusted_Agoda,UNITED STATES - USA,
 shp-prx118-us-v00002.tp-ns.com,80,,,High,,,Trusted_Agoda,UNITED STATES - USA,
 cld-us-evln.tp-ns.com,80,,,High,,,Trusted_Agoda,UNITED STATES - USA,
 cld-us-bjny.tp-ns.com,80,,,High,,,Trusted_Agoda,UNITED STATES - USA,
 cld-us-mfzs.tp-ns.com,80,,,High,,,Trusted_Agoda,UNITED STATES - USA,
 shp-prx118-mx-v00001.tp-ns.com,80,,,High,,,Trusted_Agoda,MEXICO,
 shp-prx118-mx-v00002.tp-ns.com,80,,,High,,,Trusted_Agoda,MEXICO,
 cld-us-evln.tp-ns.com,80,,,High,,,Trusted_Agoda,MEXICO,
 cld-us-bjny.tp-ns.com,80,,,High,,,Trusted_Agoda,MEXICO,
 cld-us-mfzs.tp-ns.com,80,,,High,,,Trusted_Agoda,MEXICO,
 shp-prx118-de-v00001.tp-ns.com,80,,,High,,,Trusted_Agoda,Germany,
 shp-prx118-de-v00002.tp-ns.com,80,,,High,,,Trusted_Agoda,Germany,
 cld-us-evln.tp-ns.com,80,,,High,,,Trusted_Agoda,Germany,
 cld-us-bjny.tp-ns.com,80,,,High,,,Trusted_Agoda,Germany,
 cld-us-mfzs.tp-ns.com,80,,,High,,,Trusted_Agoda,Germany,
 shp-prx118-cn-v00001.tp-ns.com,80,,,High,,,Trusted_Agoda,China,
 shp-prx118-cn-v00002.tp-ns.com,80,,,High,,,Trusted_Agoda,China,
 cld-us-evln.tp-ns.com,80,,,High,,,Trusted_Agoda,China,
 cld-us-bjny.tp-ns.com,80,,,High,,,Trusted_Agoda,China,
 cld-us-mfzs.tp-ns.com,80,,,High,,,Trusted_Agoda,China,
 shp-prx118-id-v00001.tp-ns.com,80,,,High,,,Trusted_Agoda,Indonesia,
 shp-prx118-id-v00002.tp-ns.com,80,,,High,,,Trusted_Agoda,Indonesia,
 shp-prx118-id-d00001.tp-ns.com,80,,,High,,,Trusted_Agoda,Indonesia,
 cld-us-evln.tp-ns.com,80,,,High,,,Trusted_Agoda,Indonesia,
 cld-us-bjny.tp-ns.com,80,,,High,,,Trusted_Agoda,Indonesia,
 shp-prx118-it-d00001.tp-ns.com,80,,,High,,,Trusted_Agoda,Italy,
 cld-us-evln.tp-ns.com,80,,,High,,,Trusted_Agoda,Italy,
 cld-us-bjny.tp-ns.com,80,,,High,,,Trusted_Agoda,Italy,
 cld-us-mfzs.tp-ns.com,80,,,High,,,Trusted_Agoda,Italy,
 shp-prx118-it-d00001.tp-ns.com,80,,,High,,,Trusted_Agoda,Italy,
 shp-prx118-au-v00001.tp-ns.com,80,,,High,,,Trusted_Agoda,AUSTRALIA,
 shp-prx118-au-v00002.tp-ns.com,80,,,High,,,Trusted_Agoda,AUSTRALIA,
 shp-prx118-au-d00001.tp-ns.com,80,,,High,,,Trusted_Agoda,AUSTRALIA,
 cld-us-evln.tp-ns.com,80,,,High,,,Trusted_Agoda,AUSTRALIA,
 cld-us-bjny.tp-ns.com,80,,,High,,,Trusted_Agoda,AUSTRALIA,
 shp-prx118-hk-v00001.tp-ns.com,80,,,High,,,Trusted_Agoda,Hong Kong,
 shp-prx118-hk-v00002.tp-ns.com,80,,,High,,,Trusted_Agoda,Hong Kong,
 cld-us-mfzs.tp-ns.com,80,,,High,,,Trusted_Agoda,Hong Kong,
 cld-us-evln.tp-ns.com,80,,,High,,,Trusted_Agoda,Hong Kong,
 cld-us-bjny.tp-ns.com,80,,,High,,,Trusted_Agoda,Hong Kong,
