ProxyName,ProxyPort,ProxyUserName,ProxyPassword,ProxyType,CountryName,RegionId,VendorName,POS,PageType
shp-prx118-ar-d00001.tp-ns.com,80,,,High,,1,Trusted,Argentina,
shp-prx118-ar-d00001.tp-ns.com,80,,,High,,1,Trusted,Argentina,
shp-prx118-uk-v00004.tp-ns.com,80,,,High,,1,Trusted,United Kingdom,
shp-prx118-uk-v00002.tp-ns.com,80,,,High,,1,Trusted,United Kingdom,
shp-prx118-uk-v00003.tp-ns.com,80,,,High,,1,Trusted,United Kingdom,
shp-prx118-uk-v00001.tp-ns.com,80,,,High,,1,Trusted,United Kingdom,
shp-prx118-es-v00001.tp-ns.com,80,,,High,,1,Trusted,Spain,
shp-prx118-es-v00002.tp-ns.com,80,,,High,,1,Trusted,Spain,
shp-prx118-us-v00001.tp-ns.com,80,,,High,,1,Trusted,UNITED STATES - USA,
shp-prx118-us-v00002.tp-ns.com,80,,,High,,1,Trusted,UNITED STATES - USA,
shp-prx118-mx-v00001.tp-ns.com,80,,,High,,1,Trusted,MEXICO,
shp-prx118-mx-v00002.tp-ns.com,80,,,High,,1,Trusted,MEXICO,
shp-prx118-de-v00001.tp-ns.com,80,,,High,,1,Trusted,Germany,
shp-prx118-de-v00002.tp-ns.com,80,,,High,,1,Trusted,Germany,
shp-prx118-cn-v00001.tp-ns.com,80,,,High,,1,Trusted,China,
shp-prx118-cn-v00002.tp-ns.com,80,,,High,,1,Trusted,China,
shp-prx118-id-v00001.tp-ns.com,80,,,High,,1,Trusted,Indonesia,
shp-prx118-id-v00002.tp-ns.com,80,,,High,,1,Trusted,Indonesia,
shp-prx118-id-d00001.tp-ns.com,80,,,High,,1,Trusted,Indonesia,
shp-prx118-it-d00001.tp-ns.com,80,,,High,,1,Trusted,Italy,
shp-prx118-it-d00001.tp-ns.com,80,,,High,,1,Trusted,Italy,
shp-prx118-au-v00001.tp-ns.com,80,,,High,,1,Trusted,AUSTRALIA,
shp-prx118-au-v00002.tp-ns.com,80,,,High,,1,Trusted,AUSTRALIA,
shp-prx118-au-d00001.tp-ns.com,80,,,High,,1,Trusted,AUSTRALIA,
shp-prx118-hk-v00001.tp-ns.com,80,,,High,,1,Trusted,Hong Kong,
shp-prx118-hk-v00002.tp-ns.com,80,,,High,,1,Trusted,Hong Kong,
