ProxyName,ProxyPort,ProxyUserName,ProxyPassword,ProxyType,CountryName,RegionId,VendorName,POS,PageType
shp-prx118-es-v00001.tp-ns.com,80,,,High,,1,Trusted,Australia,
shp-prx118-cn-v00001.tp-ns.com,80,,,High,,1,Trusted,China,
shp-prx118-fr-v00001.tp-ns.com,80,,,High,,1,Trusted,France,
shp-prx118-de-v00001.tp-ns.com,80,,,High,,1,Trusted,Germany,
shp-prx118-hk-v00001.tp-ns.com,80,,,High,,1,Trusted,Hong Kong,
shp-prx118-id-v00001.tp-ns.com,80,,,High,,1,Trusted,Indonesia,
shp-prx118-mx-v00001.tp-ns.com,80,,,High,,1,Trusted,Mexico,
shp-prx118-pt-v00001.tp-ns.com,80,,,High,,1,Trusted,Portugal,
shp-prx118-ae-v00001.tp-ns.com,80,,,High,,1,Trusted,Saudi Arabia,
shp-prx118-ae-d00001.tp-ns.com,80,,,High,,1,Trusted,UNITED STATES - USA,
shp-prx118-us-v00001.tp-ns.com,80,,,High,,1,Trusted,UNITED STATES - USA,
shp-prx118-us-v00001.tp-ns.com,80,,,High,,1,Trusted,COSTA RICA,
shp-prx118-uk-v00004.tp-ns.com,80,,,High,,1,Trusted,United Kingdom,
shp-prx118-es-v00001.tp-ns.com,80,,,High,,1,Trusted,Spain,
shp-prx118-it-d00001.tp-ns.com,80,,,High,,1,Trusted,Italy,
shp-prx118-br-d00001.tp-ns.com,80,,,High,,1,Trusted,Brazil,
shp-prx118-ar-d00001.tp-ns.com,80,,,High,,1,Trusted,Argentina,
shp-prx118-kr-d00001.tp-ns.com,80,,,High,,1,Trusted,South Korea,
