ProxyName,ProxyPort,ProxyUserName,ProxyPassword,ProxyType,CountryName,RegionId,VendorName,POS,PageType
shp-prx118-us-v00001.tp-ns.com,80,,,High,,1,Trusted,,
shp-prx118-us-v00001.tp-ns.com,80,,,High,,1,Trusted,,
shp-prx118-sa-v00001.tp-ns.com,80,,,High,,1,Trusted,,
london.wonderproxy.com,11000,sachin,sachin@123,High,,1,Wonder,,
world.nohodo.com,6813,11296,K87eRe,High,,1,Nohodo,,
shp-prx118-sa-v00002.tp-ns.com,80,,,High,,1,Trusted,,
shp-prx118-sa-v00001.tp-ns.com,80,,,High,,1,Trusted,,
shp-prx118-uk-v00025.tp-ns.com,80,,,High,,1,Trusted,,
cld-us-evln.tp-ns.com,80,,,High,,1,Trusted,,
shp-prx118-uk-v00004.tp-ns.com,80,,,High,,1,Trusted,,
shp-prx118-uk-v00004.tp-ns.com,80,,,High,,1,Trusted,,
cld-us-evln.tp-ns.com,80,,,High,,1,Trusted,,
 shp-prx118-ar-d00001.tp-ns.com,80,,,High,,1,Trusted,Argentina,
 cld-us-evln.tp-ns.com,80,,,High,,1,Trusted,Argentina,
 cld-us-bjny.tp-ns.com,80,,,High,,1,Trusted,Argentina,
 cld-us-mfzs.tp-ns.com,80,,,High,,1,Trusted,Argentina,
 shp-prx118-ar-d00001.tp-ns.com,80,,,High,,1,Trusted,Argentina,
 shp-prx118-uk-v00004.tp-ns.com,80,,,High,,1,Trusted,United Kingdom,
 shp-prx118-uk-v00002.tp-ns.com,80,,,High,,1,Trusted,United Kingdom,
 shp-prx118-uk-v00003.tp-ns.com,80,,,High,,1,Trusted,United Kingdom,
 shp-prx118-uk-v00001.tp-ns.com,80,,,High,,1,Trusted,United Kingdom,
 cld-us-evln.tp-ns.com,80,,,High,,1,Trusted,United Kingdom,
 shp-prx118-es-v00001.tp-ns.com,80,,,High,,1,Trusted,Spain,
 shp-prx118-es-v00002.tp-ns.com,80,,,High,,1,Trusted,Spain,
 cld-us-evln.tp-ns.com,80,,,High,,1,Trusted,Spain,
 cld-us-bjny.tp-ns.com,80,,,High,,1,Trusted,Spain,
 cld-us-mfzs.tp-ns.com,80,,,High,,1,Trusted,Spain,
 shp-prx118-us-v00001.tp-ns.com,80,,,High,,1,Trusted,UNITED STATES - USA,
 shp-prx118-us-v00002.tp-ns.com,80,,,High,,1,Trusted,UNITED STATES - USA,
 cld-us-evln.tp-ns.com,80,,,High,,1,Trusted,UNITED STATES - USA,
 cld-us-bjny.tp-ns.com,80,,,High,,1,Trusted,UNITED STATES - USA,
 cld-us-mfzs.tp-ns.com,80,,,High,,1,Trusted,UNITED STATES - USA,
 shp-prx118-mx-v00001.tp-ns.com,80,,,High,,1,Trusted,MEXICO,
 shp-prx118-mx-v00002.tp-ns.com,80,,,High,,1,Trusted,MEXICO,
 cld-us-evln.tp-ns.com,80,,,High,,1,Trusted,MEXICO,
 cld-us-bjny.tp-ns.com,80,,,High,,1,Trusted,MEXICO,
 cld-us-mfzs.tp-ns.com,80,,,High,,1,Trusted,MEXICO,
 shp-prx118-de-v00001.tp-ns.com,80,,,High,,1,Trusted,Germany,
 shp-prx118-de-v00002.tp-ns.com,80,,,High,,1,Trusted,Germany,
 cld-us-evln.tp-ns.com,80,,,High,,1,Trusted,Germany,
 cld-us-bjny.tp-ns.com,80,,,High,,1,Trusted,Germany,
 cld-us-mfzs.tp-ns.com,80,,,High,,1,Trusted,Germany,
 shp-prx118-cn-v00001.tp-ns.com,80,,,High,,1,Trusted,China,
 shp-prx118-cn-v00002.tp-ns.com,80,,,High,,1,Trusted,China,
 cld-us-evln.tp-ns.com,80,,,High,,1,Trusted,China,
 cld-us-bjny.tp-ns.com,80,,,High,,1,Trusted,China,
 cld-us-mfzs.tp-ns.com,80,,,High,,1,Trusted,China,
 shp-prx118-id-v00001.tp-ns.com,80,,,High,,1,Trusted,Indonesia,
 shp-prx118-id-v00002.tp-ns.com,80,,,High,,1,Trusted,Indonesia,
 shp-prx118-id-d00001.tp-ns.com,80,,,High,,1,Trusted,Indonesia,
 cld-us-evln.tp-ns.com,80,,,High,,1,Trusted,Indonesia,
 cld-us-bjny.tp-ns.com,80,,,High,,1,Trusted,Indonesia,
 shp-prx118-it-d00001.tp-ns.com,80,,,High,,1,Trusted,Italy,
 cld-us-evln.tp-ns.com,80,,,High,,1,Trusted,Italy,
 cld-us-bjny.tp-ns.com,80,,,High,,1,Trusted,Italy,
 cld-us-mfzs.tp-ns.com,80,,,High,,1,Trusted,Italy,
 shp-prx118-it-d00001.tp-ns.com,80,,,High,,1,Trusted,Italy,
 shp-prx118-au-v00001.tp-ns.com,80,,,High,,1,Trusted,AUSTRALIA,
 shp-prx118-au-v00002.tp-ns.com,80,,,High,,1,Trusted,AUSTRALIA,
 shp-prx118-au-d00001.tp-ns.com,80,,,High,,1,Trusted,AUSTRALIA,
 cld-us-evln.tp-ns.com,80,,,High,,1,Trusted,AUSTRALIA,
 cld-us-bjny.tp-ns.com,80,,,High,,1,Trusted,AUSTRALIA,
 shp-prx118-hk-v00001.tp-ns.com,80,,,High,,1,Trusted,Hong Kong,
 shp-prx118-hk-v00002.tp-ns.com,80,,,High,,1,Trusted,Hong Kong,
 cld-us-mfzs.tp-ns.com,80,,,High,,1,Trusted,Hong Kong,
 cld-us-evln.tp-ns.com,80,,,High,,1,Trusted,Hong Kong,
 cld-us-bjny.tp-ns.com,80,,,High,,1,Trusted,Hong Kong,
 shp-prx118-es-v00001.tp-ns.com,80,,,High,,1,Trusted,Australia,
 shp-prx118-cn-v00001.tp-ns.com,80,,,High,,1,Trusted,China,
 shp-prx118-fr-v00001.tp-ns.com,80,,,High,,1,Trusted,France,
 shp-prx118-de-v00001.tp-ns.com,80,,,High,,1,Trusted,Germany,
 shp-prx118-hk-v00001.tp-ns.com,80,,,High,,1,Trusted,Hong Kong,
 shp-prx118-id-v00001.tp-ns.com,80,,,High,,1,Trusted,Indonesia,
 shp-prx118-mx-v00001.tp-ns.com,80,,,High,,1,Trusted,Mexico,
 shp-prx118-pt-v00001.tp-ns.com,80,,,High,,1,Trusted,Portugal,
 shp-prx118-ae-v00001.tp-ns.com,80,,,High,,1,Trusted,Saudi Arabia,
 shp-prx118-ae-d00001.tp-ns.com,80,,,High,,1,Trusted,UNITED ARAB EMIRATES,
 shp-prx118-us-v00001.tp-ns.com,80,,,High,,1,Trusted,UNITED STATES - USA,
 shp-prx118-us-v00001.tp-ns.com,80,,,High,,1,Trusted,COSTA RICA,
 shp-prx118-uk-v00004.tp-ns.com,80,,,High,,1,Trusted,United Kingdom,
 shp-prx118-es-v00001.tp-ns.com,80,,,High,,1,Trusted,Spain,
 shp-prx118-it-d00001.tp-ns.com,80,,,High,,1,Trusted,Italy,
 shp-prx118-br-d00001.tp-ns.com,80,,,High,,1,Trusted,Brazil,
 shp-prx118-ar-d00001.tp-ns.com,80,,,High,,1,Trusted,Argentina,
 shp-prx118-kr-d00001.tp-ns.com,80,,,High,,1,Trusted,South Korea,
 shp-prx118-es-v00001.tp-ns.com,80,,,High,,1,Trusted,Australia,
 shp-prx118-cn-v00001.tp-ns.com,80,,,High,,1,Trusted,China,
 shp-prx118-fr-v00001.tp-ns.com,80,,,High,,1,Trusted,France,
 shp-prx118-de-v00001.tp-ns.com,80,,,High,,1,Trusted,Germany,
