ProxyName,ProxyPort,ProxyUserName,ProxyPassword,ProxyType,CountryName,RegionId,VendorName,POS,PageType
 shp-prx118-es-v00001.tp-ns.com,80,,,High,,,Trusted,Australia,
 shp-prx118-cn-v00001.tp-ns.com,80,,,High,,,Trusted,China,
 shp-prx118-fr-v00001.tp-ns.com,80,,,High,,,Trusted,France,
 shp-prx118-de-v00001.tp-ns.com,80,,,High,,,Trusted,Germany,
 shp-prx118-hk-v00001.tp-ns.com,80,,,High,,,Trusted,Hong Kong,
 shp-prx118-id-v00001.tp-ns.com,80,,,High,,,Trusted,Indonesia,
 shp-prx118-mx-v00001.tp-ns.com,80,,,High,,,Trusted,Mexico,
 shp-prx118-pt-v00001.tp-ns.com,80,,,High,,,Trusted,Portugal,
 shp-prx118-ae-v00001.tp-ns.com,80,,,High,,,Trusted,Saudi Arabia,
 shp-prx118-ae-d00001.tp-ns.com,80,,,High,,,Trusted,UNITED ARAB EMIRATES,
 shp-prx118-us-v00001.tp-ns.com,80,,,High,,,Trusted,UNITED STATES - USA,
 shp-prx118-us-v00001.tp-ns.com,80,,,High,,,Trusted,COSTA RICA,
 shp-prx118-uk-v00004.tp-ns.com,80,,,High,,,Trusted,United Kingdom,
 shp-prx118-es-v00001.tp-ns.com,80,,,High,,,Trusted,Spain,
 shp-prx118-it-d00001.tp-ns.com,80,,,High,,,Trusted,Italy,
 shp-prx118-br-d00001.tp-ns.com,80,,,High,,,Trusted,Brazil,
 shp-prx118-ar-d00001.tp-ns.com,80,,,High,,,Trusted,Argentina,
 shp-prx118-kr-d00001.tp-ns.com,80,,,High,,,Trusted,South Korea,
