Booking date,Batch Name,Destination,Lead time Value,Event Type Value,Nights,NvcrAccountName,NvcrPrimarySupplier
8-Oct-18,RM_RIO_UK,RIO,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,4,,
8-Oct-18,RM_ORD_US,ORD,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
8-Oct-18,RM_NYC_UK,NYC,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,4,,
8-Oct-18,RM_NYC_US,NYC,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,4,,
8-Oct-18,RM_MIA_US,MIA,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_MCO_UK,MCO,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,7,,
8-Oct-18,RM_MCO_US,MCO,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,7,,
8-Oct-18,RM_LVS_UK,LVS,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_LVS_US,LVS,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_LAX_UK,LAX,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_LAX_US,LAX,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_SAD_US,SAD,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
8-Oct-18,RM_SFO_UK,SFO,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_SFO_US,SFO,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_MNL_US,MNL,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
8-Oct-18,RM_KIX_UK,KIX,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_ITM_UK,ITM,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_NRT_UK,NRT,Early Booking(+180)/Free Event(08122018-11122018)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Free/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_ADL_AU,ADL,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
8-Oct-18,RM_BNE_AU,BNE,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,,
8-Oct-18,RM_CNS_AU,CNS,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_OOL_AU,OOL,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_MLB_AU,MLB,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,,
8-Oct-18,RM_MLB_UK,MLB,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,,
8-Oct-18,RM_PER_AU,PER,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,,
8-Oct-18,RM_SYD_AU,SYD,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_SYD_UK,SYD,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_AKL_AU,AKL,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,,
8-Oct-18,RM_ZQN_AU,ZQN,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_BAI_UK,BAI,Free Event(08122018-11122018)/Free Event(10042019-13042019)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Free/Free/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_BDO_UK,BDO,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,,
8-Oct-18,RM_JAV_UK,JAV,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,,
8-Oct-18,RM_LGK_UK,LGK,Early Booking(+180)/Free Event(08122018-11122018)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Free/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_KUL_UK,KUL,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
8-Oct-18,RM_PEN_UK,PEN,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
8-Oct-18,RM_SIN_UK,SIN,Early Booking(+180)/Free Event(08122018-11122018)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Free/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_HKG_UK,HKG,Early Booking(+180)/Free Event(08122018-10122018)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Free/Fixed/Fixed/Fixed,2,,
8-Oct-18,RM_ICN_UK,ICN,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_BH1_SA,BH1,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
8-Oct-18,RM_BH1_AE,BH1,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
8-Oct-18,RM_AMM_UK,AMM,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_DOH_AE,DOH,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
8-Oct-18,RM_DOH_UK,DOH,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
8-Oct-18,RM_AUH_UK,AUH,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,,
8-Oct-18,RM_DXB_AE,DXB,Early Booking(+180)/Free Event(08122018-12122018)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Free/Fixed/Fixed/Fixed,4,,
8-Oct-18,RM_DXB_UK,DXB,Early Booking(+180)/Free Event(08122018-12122018)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Free/Fixed/Fixed/Fixed,4,,
8-Oct-18,RM_PAR_ES,PAR,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_PAR_UK,PAR,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_PAR_UKTR,PAR,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,REVTRUK,Hotelbeds
8-Oct-18,RM_LON_ES,LON,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_LON_UK,LON,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_LON_UKTR,LON,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,REVTRUK,Hotelbeds
8-Oct-18,RM_ORK_UKTR,ORK,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,REVTRUK,Hotelbeds
8-Oct-18,RM_GWY_UKTR,GWY,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,REVTRUK,Hotelbeds
8-Oct-18,RM_DUB_ES,DUB,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_DUB_UKTR,DUB,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,REVTRUK,Hotelbeds
8-Oct-18,RM_ABZ_UKTR,ABZ,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,REVTRUK,Hotelbeds
8-Oct-18,RM_BFS_UK,BFS,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,,
8-Oct-18,RM_BFS_UKTR,BFS,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,REVTRUK,Hotelbeds
8-Oct-18,RM_BKP_UK,BKP,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,,
8-Oct-18,RM_BKP_UKTR,BKP,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,REVTRUK,Hotelbeds
8-Oct-18,RM_BOU_UK,BOU,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
8-Oct-18,RM_BOU_UKTR,BOU,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,REVTRUK,Hotelbeds
8-Oct-18,RM_BRI_UKTR,BRI,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,REVTRUK,Hotelbeds
8-Oct-18,RM_CIS_UKTR,CIS,Early Booking(+180)/Last Minute(+7)/Short Term(+30) ,Fixed/Fixed/Fixed,4,REVTRUK,Hotelbeds
8-Oct-18,RM_EDI_UK,EDI,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,,
8-Oct-18,RM_EDI_UKTR,EDI,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,3,REVTRUK,Hotelbeds
8-Oct-18,RM_GLA_UK,GLA,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
8-Oct-18,RM_GLA_UKTR,GLA,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,REVTRUK,Hotelbeds
8-Oct-18,RM_INV_UKTR,INV,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,REVTRUK,Hotelbeds
8-Oct-18,RM_LBA_UKTR,LBA,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,REVTRUK,Hotelbeds
8-Oct-18,RM_LPL_UKTR,LPL,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,REVTRUK,Hotelbeds
8-Oct-18,RM_MAC_UK,MAC,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,,
8-Oct-18,RM_MAC_UKTR,MAC,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,2,REVTRUK,Hotelbeds
8-Oct-18,RM_NCL_UKTR,NCL,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,REVTRUK,Hotelbeds
8-Oct-18,RM_NCL_UK,NCL,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,,
8-Oct-18,RM_QQY_UKTR,QQY,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,1,REVTRUK,Hotelbeds
8-Oct-18,RM_IBZ_ES,IBZ,Early Booking(+180)/Last Minute(+7)/Short Term(+30) ,Fixed/Fixed/Fixed,5,,
8-Oct-18,RM_IBZ_UKTR,IBZ,Early Booking(+180)/Immediate Arrivals(+3)/Last Minute(+7)/Short Term(+30) ,Fixed/Free/Fixed/Fixed,5,REVTRUK,Hotelbeds
8-Oct-18,RM_PMI_ES,PMI,Early Booking(+180)/Last Minute(+7)/Medium Term(+93)/Short Term(+30) ,Fixed/Fixed/Fixed/Fixed,7,,
