Website hotel code,Hotelname,Star rating,Address1,Country code,Country name,Zip Code,Longitude,Latitude,City code,City name,Hotel Status,Yield Manager,Contract Manager,Demand Group,Segmentation,HotelChain,HotelContractingType,TPS
5,HG Lomo Blanco,2LL,"CALLE GUADARFIA, 1, PUERTO DEL CARMEN 35510",ES,SPAIN,29,-13.6645,28.923,ACE,Lanzarote,Live,Elisa Belén García Re,Alejandra Garcia Trabanco,Core-Demand Group 1,Priority,HG HOTEL & APARTAMENTOS,,
8,Servatur Waikiki,4EST,"AV. GRAN CANARIA, 20, PLAYA DEL INGLES 35100",ES,SPAIN,29,-15.5712,27.7631,LPA,Gran Canaria,Live,Jessica Capella Berga,David Moreno Mu?oz,Core-Demand Group 1,Penetration,SERVATUR,,
27,San Francisco,AT2,"DE EUROPA, 23, BENIDORM 03503",ES,SPAIN,37,-0.121757,38.5417,BEN,Benidorm - Costa Blanca,Live,No Owner,No Owner,Core-Demand Group 1,Penetration,,,
50,Aquamarina & SPA,4EST,"AVENIDA DEL MAR, 16, SANTA SUSANA  08398",ES,SPAIN,37,2.72153,41.6343,LLM,Costa Brava & Costa Barcelona-Maresme,Live,Mona Mocanu,Alicia Gonzalez,Core-Demand Group 1,Penetration,AQUA HOTEL,,
57,Barcelona Universal,4EST,"AVINGUDA DEL PARA LEL, 76-80, BARCELONA 08001",ES,SPAIN,28,2.16842,41.3752,BCN,Barcelona,Live,Joan Farnó,Clara Guasch Vidal,Core-Demand Group 1,Priority,NU?EZ  Y NAVARRO,,
64,Boa Vista Hotel & Spa,4EST,"RUA SAMORA BARROS, 20, ALBUFEIRA 8200-178",PT,PORTUGAL,34,-8.25819,37.0855,FAO,Algarve,Live,No Owner,David Dos Santos Pinheiro,Core-Demand Group 1,Penetration,BELVER,,
76,Bendinat,4EST,"ANDRES FERRET SOBRAL, 1, BENDINAT 07181",ES,SPAIN,27,2.58026,39.5324,PMI,Majorca,Live,No Owner,No Owner,Core-Demand Group 1,Penetration,,,
87,NH Las Palmas Playa las Canteras,3EST,"CALLE PRUDENCIO MORALES, 41, LAS PALMAS DE GRAN CANARIA 35009",ES,SPAIN,29,-15.4307,28.1491,LPA,Gran Canaria,Live,Ruth Lopez,Monica Pascual,Core-Demand Group 1,Priority,HOTELES NH,,
91,Hotel Best Cambrils,4EST,"AVENIDA DIPUTACION 141, 141, CAMBRILS 43850",ES,SPAIN,37,1.10057,41.0709,SAL,Salou Area / Costa Dorada,Live,Almudena Castela Duran,Olga Contreras,Core-Demand Group 2,Penetration,BEST HOTELS,,
139,Atlantis Las Lomas,2LL,"CALLE TINGUATON, 7, PUERTO DEL CARMEN LANZAROTE LAS PALMAS 35510",ES,SPAIN,29,-13.6629,28.9223,ACE,Lanzarote,Live,Zenaide Díaz Garc?,Trinidad Cabrera,Core-Demand Group 1,Priority,,,
142,Inglaterra,4EST,"PLAZA NUEVA, 7, SEVILLA 41001",ES,SPAIN,38,-5.99637,37.3883,SVQ,Seville,Live,Jose Luis Aguilar,Maria Angeles Moray,Core-Demand Group 2,Defend,,,
164,Dunas Mirador Maspalomas,3EST,"CALLE EINSTEIN, MASPALOMAS 35100",ES,SPAIN,29,-15.6014,27.7643,LPA,Gran Canaria,Live,Jessica Capella Berga,Sandra Arencibia Prieto,Core-Demand Group 1,Penetration,HOTELES DUNAS,,
183,Sirenis Hotel Goleta & SPA,4EST,"AVENIDA PEDRO MATUTES NOGUERA, Playa D En Bossa 07800",ES,SPAIN,27,1.41573,38.8979,IBZ,Ibiza,Live,Andres Gomez,Mo Jose Daura,Core-Demand Group 1,Risk,SIRENIS HOTELS,,
212,La Reserva de Marbella,APTH4,"URB.LA RESERVA DE MARBCTA NACIONAL 340  KM.1936, Marbella Malaga 29600",ES,SPAIN,38,-4.75135,36.4956,AGP,Costa Del Sol,Live,Laura Puszko,Sonia San Emeterio,Core-Demand Group 1,Priority,VIME HOTELES,,
219,Vincci Costa Golf,4EST,"URB NOVO SANCTI PETRI, CHICLANA DE LA FRONTERA 11130",ES,SPAIN,38,-6.16789,36.3602,LUZ,Costa De La Luz (Cadiz),Live,Jose Luis Aguilar,Gloria Ortega,Core-Demand Group 3,Risk,VINCCI HOTELES,,
222,Adrian Hoteles Jardines de Nivaria,5EST,"CALLE PARIS, COSTA ADEJE 38660",ES,SPAIN,29,-16.7365,28.0887,TFS,Tenerife,Live,Elisa Belén García Re,Alejandra Garcia Trabanco,Core-Demand Group 1,Penetration,ADRIAN HOTELES,,
225,SBH Taro Beach,4EST,"DE LTU, 1, COSTA CALMA 35627",ES,SPAIN,29,-14.2227,28.1645,FUE,Fuerteventura,Live,Monica Cuadros,Maria Gonzalez Calles,Core-Demand Group 2,Penetration,SBH,,
232,Beverly Park,3EST,"CALLE HAMBURGO, 10, PLAYA DEL INGLES 35100",ES,SPAIN,29,-15.5585,27.7649,LPA,Gran Canaria,Live,Monica Cuadros,David Moreno Mu?oz,Core-Demand Group 1,Priority,,,
235,Mareny Benidorm,3EST,"LA GARITA, 17, BENIDORM 03501",ES,SPAIN,37,-0.133405,38.5388,BEN,Benidorm - Costa Blanca,Live,Mónica Barraso Andersso,Bego?a Martorell,Core-Demand Group 1,Penetration,Marenysol,,
236,Servigroup Venus,3EST,"FILIPINAS, 13, BENIDORM 03503",ES,SPAIN,37,-0.11418,38.539,BEN,Benidorm - Costa Blanca,Live,No Owner,No Owner,Core-Demand Group 1,Penetration,SERVIGROUP,,
258,Maracaibo,2EST,"AVENIDA DE MOGAN, 13, Puerto Rico De Gran 35130",ES,SPAIN,29,-15.7145,27.7871,LPA,Gran Canaria,Live,Jessica Capella Berga,Maria Gonzalez Calles,Core-Demand Group 1,Priority,,,
259,Sol Palmanova-Mirlos Tordos,4EST,"CALLE GERMANS PINZON, 8, PALMANOVA 07181",ES,SPAIN,27,2.53547,39.516,PMI,Majorca,Live,Raquel Garcia Mouri?o,Romina Manotas,Core-Demand Group 1,Priority,MELIA HOTELS INTERNATIONAL,,
265,HM Jaime III,4EST,"PASSEIG DE MALLORCA, 14B, PALMA DE MALLORCA 07012",ES,SPAIN,27,2.64263,39.573,PMI,Majorca,Live,Amanda Larg,Angelica Murillo Monsalve,Core-Demand Group 1,Risk,HM HOTELS,,
279,Hotel Gran Sol Ibiza,3EST,"CALLE SOLEDAD (CALO DES MORO), 49, Sant Antoni De Portm 07820",ES,SPAIN,27,1.29718,38.9842,IBZ,Ibiza,Live,Andres Gomez,Mo Jose Daura,Core-Demand Group 1,Penetration,,,
282,Mariscal IV-V,2LL,"CALLE KENNEDY, 12, BENIDORM 03503",ES,SPAIN,37,-0.115802,38.5412,BEN,Benidorm - Costa Blanca,Live,Inmaculada Carretero Palomeque,Roberto Vicente Gomariz,Core-Demand Group 1,Risk,,,
283,Acuarium II,AT2,"AVENIDA JUAN FUSTER ZARAGOZA, 3, BENIDORM 03503",ES,SPAIN,37,-0.108083,38.5377,BEN,Benidorm - Costa Blanca,Live,Inmaculada Carretero Palomeque,Roberto Vicente Gomariz,Core-Demand Group 1,Priority,NUEVHOGAR,,
317,Sun Club El Dorado,2EST,"ARENAL - CABO BLANCO KM. 11, CABO REGANA 07609",ES,SPAIN,27,2.74234,39.4163,PMI,Majorca,Live,Carlos Masegosa Monserrat,Isabel Robledo,Core-Demand Group 1,Penetration,,,
326,Diplomatic,4EST,"AVINGUDA DE TARRAGONA, ANDORRA LA VELLA AD 500",AD,ANDORRA,28,1.52863,42.505,AND,Andorra,Live,Cintia D?amic,Amaia Navarro Mateo,Core-Demand Group 1,Priority,,,
330,Roc de Caldes,5EST,"ENGOLASTERS, ESCALDES AD 700",AD,ANDORRA,28,1.7697,42.6814,AND,Andorra,Inactive,Pending,Pending,Core-Demand Group 1,Penetration,,,
348,Tryp Cordoba .,4EST,"JARDINES DE LA VICTORIA, CORDOBA 14004",ES,SPAIN,38,-4.7855,37.8807,ODB,Cordoba,Inactive,Pending,Pending,Core-Demand Group 4,Penetration,,,
