"SpecialChars","ReplaceChars","Status"
"$","$","Active"
"@","#","Active"
"reso&t","&","Inactive"
"reso&t","&","Active"
"Hotel$@s","$@","Active"
"resort&&","&&","Inactive"
"hotel_new","1_","Active"
"to@mount%","@%","Active"
"rs%%","%%","Active"
"resort&&","&&","Inactive"
"reso&ts","$","Inactive"
"Hotel$@s##","$@##","Active"
"Hotel_11","1_","Active"
"to@%gether","@%","Active"
"Hotel_11","1_","Active"
"to@%gether","@%","Active"
"new_11","1_","Active"
"chk@%data","@%","Active"
"day_chk$%","$%","Active"
"room#%data","#%","Active"
"aa$$","$$","Active"
"Hotel$@s!!","!!","Active"
"Hotel$!!","!!","Active"
"NewData#&","&&","Active"
"Munic&#615943;&#615943;&#615943;&#615943;pio","MUNICIPIO","Active"
"MUNIC&615943;&615943;&615943;&615943;PIO","MUNICIPIO","Active"
"Pra&#615943;&#615943;&#615943;&#615943;a","PRACA","Active"
"Munic&#65533;&#65533;&#65533;&#65533;pio","MUNICIPIO","Active"
"l&#615943;&#615943;&#615943;&#615943;","le","Active"
"MUNIC&65533;&65533;&65533;&65533;PIO","MUNICIPIO","Active"
"Pra&#65533;&#65533;&#65533;&#65533;a","PRACA","Active"
"Eric V&#195;&#182;kel Madrid Suites","Eric VOkel Madrid Suites","Active"
"Matalasca&#195;&#131;&#194;&#177;as","Matalascanas","Active"
"Tur&#195;&#131;&#194;&#173;sticos","TURAISTICOS","Active"
"l&#65533;&#65533;&#65533;&#65533;","le","Active"
"Habita&#195;&#167;&#195;&#163;o","HABITACAO","Active"
"Matalasca&#195;&#131;&#177;as","MATALASCANAS","Active"
"Bar&#195;&#131;&#194;&#163;o","BARAO","Active"
"Resid&#615943;&#615943;ncia","Residencia","Active"
"Invalidenstra&#195;&#159;e","Invalidenstrasse","Active"
"Harrah&#8217;s New Orleans","HARRAH'S","Active"
"Jer&#615943;&#615943;nimos","JERONIMOS","Active"
"M&#615943;&#615943;tropole","Metropole","Active"
"Malague&#615943;&#615943;a","Malaguena","Active"
"Pr&#615943;&#615943;ncipe","Principe","Active"
"Resid&#65533;&#65533;ncia","Residencia","Active"
"Residences&a&#128;&#147;","Residences","Active"
"Ast&#615943;&#615943;ria","Astoria","Active"
"Fl&#615943;&#615943;rida","Florida","Active"
"JER&615943;&615943;NIMOS","JERONIMOS","Active"
"SEBASTI&615943;&615943;N","SEBASTIAN","Active"
"Vi&#615943;&#615943;uela","Vinuela","Active"
"M&#65533;&#65533;tropole","Metropole","Active"
"Jer&#65533;&#65533;nimos","JERONIMOS","Active"
"Malague&#65533;&#65533;a","Malaguena","Active"
"N&#194;&#176;9 Colosseo","N9 COLOSSEO","Active"
"Pr&#65533;&#65533;ncipe","Principe","Active"
"Exotica&#65533;&#65533;","Exotica","Active"
"Matalasca&#195;&#177;as","MATALASCANAS","Active"
"A&#615943;&#615943;ores","Acores","Active"
"CHAMBER&615943;&615943;","CHAMBERI","Active"
"Espa&#615943;&#615943;a","Espana","Active"
"SE&615943;&615943;ORIAL","SENORIAL","Active"
"Bah&#615943;&#615943;a","Bahia","Active"
"Bel&#615943;&#615943;m","Belem","Active"
"MADRO&615943;&615943;O","MADRONO","Active"
"SEBASTI&65533;&65533;N","SEBASTIAN","Active"
