"SpecialChars","ReplaceChars","Status"
"$","$","Active"
"@","#","Active"
"reso&t","&","Inactive"
"reso&t","&","Active"
"Hotel$@s","$@","Active"
"resort&&","&&","Inactive"
"hotel_new","1_","Active"
"to@mount%","@%","Active"
"rs%%","%%","Active"
"resort&&","&&","Inactive"
"reso&ts","$","Inactive"
"Hotel$@s##","$@##","Active"
"Hotel_11","1_","Active"
"to@%gether","@%","Active"
"Hotel_11","1_","Active"
"to@%gether","@%","Active"
"new_11","1_","Active"
"chk@%data","@%","Active"
"day_chk$%","$%","Active"
"room#%data","#%","Active"
"hotel$$","$$","Active"
"@@@","123","Active"
"Data#&","#&","Active"
"Hotel$@","##$$","Active"
"Hotel$@##","Hotel","Active"
"Para\u00e3\u00adso"," Paraiso","Active"
"B\u00e3\u00a4rlin"," Berlin","Inactive"
"CHAMBER&65533;&65533;"," CHAMBERI","Active"
"EXOTICA&65533;&65533;"," Exotica","Active"
"Tur&#195;&#173;sticos"," Turisticos","Active"
