"SpecialChars","ReplaceChars","IsActive"
"$","$","1"
"@","#","1"
"reso&t","&","0"
"reso&t","&","1"
"Hotel$@s","$@","1"
"resort&&","&&","0"
"hotel_new","1_","1"
"to@mount%","@%","1"
"rs%%","%%","1"
"resort&&","&&","0"
"reso&ts","$","0"
"Hotel$@s##","$@##","1"
"Hotel_11","1_","1"
"to@%gether","@%","1"
"Hotel_11","1_","1"
"to@%gether","@%","1"
"new_11","1_","1"
"chk@%data","@%","1"
"day_chk$%","$%","1"
"room#%data","#%","1"
"hotel$$","$$","1"
"@@@","123","1"
"Data#&","#&","1"
"Hotel$@","##$$","1"
"Hotel$@##","Hotel","1"
"Para\u00e3\u00adso"," Paraiso","1"
"B\u00e3\u00a4rlin"," Berlin","0"
"CHAMBER&65533;&65533;"," CHAMBERI","1"
"EXOTICA&65533;&65533;"," Exotica","1"
"Tur&#195;&#173;sticos"," Turisticos","1"
"dev1","$$","0"
"dev2","$$","0"
"dev3","$$","0"
"test1","##","1"
"test2","##","1"
"test3","##","1"
"Para\u00d3\u00ise","paradise","0"
"Prach$$$","Prachi","1"
"Pr@chi","prachi","0"
