ProxyName,ProxyPort,ProxyUserName,ProxyPassword,ProxyType,CountryName,RegionId,VendorName,POS,PageType
shp-prx118-us-v00001.tp-ns.com,80,,,HIGH,,1,Trusted_Agoda_Booking_Booking (Registered),UNITED STATES - USA,
shp-prx118-uk-v00004.tp-ns.com,80,,,HIGH,,1,Trusted_Agoda_Booking_Booking (Registered),United Kingdom,
shp-prx118-fr-v00001.tp-ns.com,80,,,HIGH,,1,Trusted_Booking_Booking(Registered),FRANCE,
shp-prx118-de-v00001.tp-ns.com,80,,,HIGH,,1,Trusted_Agoda_Booking_Booking (Registered),GERMANY,
shp-prx118-es-v00001.tp-ns.com,80,,,HIGH,,1,Trusted_Agoda_Booking_Booking (Registered),SPAIN,
shp-prx118-ae-d00001.tp-ns.com,80,,,HIGH,,1,Trusted_Booking_Booking(Registered),UNITED ARAB EMIRATES,
shp-prx118-ar-d00001.tp-ns.com,80,,,HIGH,,1,Trusted_Agoda_Booking_Booking (Registered),ARGENTINA,
shp-prx118-es-v00001.tp-ns.com,80,,,HIGH,,1,Trusted_Booking_Booking(Registered),AUSTRALIA,
shp-prx118-br-d00001.tp-ns.com,80,,,HIGH,,1,Trusted_Booking_Booking(Registered),BRAZIL,
shp-prx118-de-v00001.tp-ns.com,80,,,HIGH,,1,Trusted_Agoda_Booking_Booking (Registered),CHINA,
shp-prx118-us-v00001.tp-ns.com,80,,,HIGH,,1,Trusted_Booking_Booking(Registered),COSTA RICA,
shp-prx118-hk-v00001.tp-ns.com,80,,,HIGH,,1,Trusted_Agoda_Booking_Booking (Registered),HONG KONG,
shp-prx118-hk-v00001.tp-ns.com,80,,,HIGH,,1,Trusted_Agoda_Booking_Booking (Registered),INDONESIA,
shp-prx118-it-d00001.tp-ns.com,80,,,HIGH,,1,Trusted_Agoda_Booking_Booking (Registered),ITALY,
shp-prx118-kr-d00001.tp-ns.com,80,,,HIGH,,1,Trusted_Booking_Booking(Registered),SOUTH KOREA,
shp-prx118-mx-v00001.tp-ns.com,80,,,HIGH,,1,Trusted_Agoda_Booking_Booking (Registered),MEXICO,
shp-prx118-pt-v00001.tp-ns.com,80,,,HIGH,,1,Trusted_Booking_Booking(Registered),PORTUGAL,
shp-prx118-ae-d00001.tp-ns.com,80,,,HIGH,,1,Trusted_Booking_Booking(Registered),SAUDI ARABIA,
